host_rate,string,bend_semitones,pressure,frames,checksum,finite,peak
44100,0,-2,0,39690,1681450179158733740,1,0.0098038651
44100,0,-2,0.300000012,39690,10902530082982418641,1,0.00952745136
44100,0,-2,1,39690,15200141386518643144,1,0.00128109124
44100,0,0,0,39690,6629215033897041876,1,0.00982506759
44100,0,0,0.300000012,39690,1052366041528914465,1,0.00957787782
44100,0,0,1,39690,6920286604191346290,1,0.00166851107
44100,0,2,0,39690,3093426547541544828,1,0.00984400418
44100,0,2,0.300000012,39690,10789517582263469366,1,0.0096230479
44100,0,2,1,39690,10683338407381971537,1,0.00207290496
44100,3,-2,0,39690,8096343312655172424,1,0.00992607605
44100,3,-2,0.300000012,39690,13041827292035386330,1,0.00979466271
44100,3,-2,1,39690,6385783880827425551,1,0.00432229368
44100,3,0,0,39690,17685298996869820067,1,0.00993407518
44100,3,0,0.300000012,39690,17600298214082485773,1,0.00981681794
44100,3,0,1,39690,2590200639199687794,1,0.00470709754
44100,3,2,0,39690,8351083733628986314,1,0.00994125754
44100,3,2,0.300000012,39690,10414201739646616653,1,0.00983665232
44100,3,2,1,39690,3392186673521306611,1,0.0050809416
44100,7,-2,0,39690,10323889063071297020,1,0.009973065
44100,7,-2,0.300000012,39690,2019463916482604668,1,0.00989043806
44100,7,-2,1,39690,13708622213516478530,1,0.00747117167
44100,7,0,0,39690,13606122499219639352,1,0.0099759819
44100,7,0,0.300000012,39690,17429439789032170773,1,0.00990231708
44100,7,0,1,39690,9070350936501975766,1,0.00770731363
44100,7,2,0,39690,7769730089088422874,1,0.00997846853
44100,7,2,0.300000012,39690,9654895113549587704,1,0.00991279632
44100,7,2,1,39690,11095977519682747882,1,0.00792621076
48000,0,-2,0,43200,15352252045211331363,1,0.00980385393
48000,0,-2,0.300000012,43200,7175711793383293105,1,0.0095274495
48000,0,-2,1,43200,14364734042216028031,1,0.00126691454
48000,0,0,0,43200,12525200174276901988,1,0.00982506573
48000,0,0,0.300000012,43200,2016804099047490830,1,0.00957788061
48000,0,0,1,43200,15209201150923787847,1,0.00164528331
48000,0,2,0,43200,10258962264039265003,1,0.0098440079
48000,0,2,0.300000012,43200,3398547634961326235,1,0.00962305255
48000,0,2,1,43200,422124198096514641,1,0.00205890439
48000,3,-2,0,43200,3651978462302003930,1,0.00992607512
48000,3,-2,0.300000012,43200,3309192187513165410,1,0.00979464501
48000,3,-2,1,43200,10416969641947611357,1,0.00433116872
48000,3,0,0,43200,17964899341623381160,1,0.00993410684
48000,3,0,0.300000012,43200,5242125358786040033,1,0.00981680397
48000,3,0,1,43200,14024443759492413072,1,0.00470792502
48000,3,2,0,43200,1199518111151379951,1,0.00994127803
48000,3,2,0.300000012,43200,1237867722360355101,1,0.00983666908
48000,3,2,1,43200,10436688970587416122,1,0.00508080423
48000,7,-2,0,43200,6334790205804748128,1,0.00997302216
48000,7,-2,0.300000012,43200,6069167240086888201,1,0.00989039708
